globalID_A,globalID_B
EH877295,EH877295
BP3766,CP4198
EP84841,EP84841
CC116916,CC116916
BR149505,BR149505
EH827821,EH827821
EH681114,EH681114
CW1019962,CW421589
DR27223,DR27223
BE298891,BE298891
EF128547,EF128547
CW1088752,CW902554
BL476707,BL476707
AY26874,AY26874
AK97282,EH304960
BN372835,BN372835
CW311268,CW1123825
CW808920,CW808920
CW54353,CW54353
BE134369,BE134369
CW739341,CW881645
CW1016234,CW1023001
DB112611,DB112611
BB106888,BB106888
CW1151078,CW907725
BY187154,BN216283
DL220326,DL220326
AL110381,AL110381
AR3590,DE135204
AJ27897,CM36336
EN42259,DL56861
AL197849,DB145608
CW1255402,CW830473
CW728583,CW728583
BN248865,BN114175
CW426476,CW165659
BY95094,BY127074
AL221767,AL84118
EH735410,EH735410
BE318096,BE318096
EH970353,EH970353
BF20948,BF20948
DW58397,DW58397
CM53602,BR157341
EH826811,EH95175
BY49830,BY49830
AB14406,AB14406
DB191618,DB191618
CW522743,CW522743
EF172914,EF172914
AW195847,AW195847
DW14734,CE34418
EH566612,EH792455
EN39959,EN39959
CW650275,CW525258
BE384668,BE409012
AW155840,AW155840
BD107176,BH134730
BY35570,BY467760
EA3781,BL9239
DH55799,DH55799
CW595482,CW762794
CW725326,CW725326
DL209736,DL114868
AA122847,CA92228
EH230994,EH308446
BY170801,DL16672
DE126173,DE113827
DZ33946,DZ33946
CG139133,CG139133
EL85635,EL85635
EH649916,EH649916
AA56154,BR88966
EM88612,EM88612
EH469813,EH423288
DA24139,DS30450
AJ24033,AJ24033
CW408607,CW408607
AW32644,AW32644
CW961510,CW421399
BE162664,BE162664
CG6551,CG6551
BN150293,BN480292
DE176109,DE176109
BY486227,BY486227
CW1026494,AA169583
AG32698,CW1199571
DB221968,DB221968
BR185086,BR185086
BH83912,BH143189
EH828209,EH828209
BZ7186,BZ7186
EH973021,EH653858
AP2084,AP43122
AD28545,AD28545
CL33752,CL33752
BE236744,BE111512
AN154170,AN154170
CW1046466,CW425068
AY38303,AY38303
DL259133,CC128866
DB189660,DB189660
BN135204,BN194523
BE361171,BE361171
BN218511,BN218511
CW811612,CW811612
CN71398,CN71398
EP68216,EP68216
EN71759,EN50685
CW493783,BY549105
CZ84718,EH48031
CW596989,CW581974
EH604971,EF23181
DB156224,DB98161
BY242447,BY242447
CW147272,CW304074
AP44603,AP44603
CW175878,CW1046012
AK160748,AK160748
CW543117,BB41888
AN103529,AN103529
CL60905,CL53023
DK45724,DK45724
BL407533,BL407533
EH872369,EH872369
CT17699,CT17699
AN107144,AN107144
BR171366,BR158827
DB33498,DB9200
EH901219,EH377055
DS102387,BY327808
EH1087959,EH1087959
BR49865,BR49865
CZ76725,CZ76725
CW1104637,CW186258
BN523066,BN514165
BN393357,BN393357
DR102054,DR102054
CW664295,CA123932
AM39718,AM39718
DB237134,DB237134
AL294758,AL294758
AL141719,AL141719
DB28804,DB28804
CG113229,CG107184
ES14480,ES14480
BY386919,BY386919
DD166000,DD166000
EH616970,EH616970
BY586851,BY586851
CJ10227,CJ10227
EF221942,EF221942
DB41713,DB41713
EH114287,EH876571
EH713614,EH713614
CW264679,CW105817
DE237210,DE187017
EH712956,EH712956
BR164078,AA94070
BN317680,EF27918
EH104629,EH311850
EF217084,EF217084
AA78386,EK2947
CW213246,CW213246
DT106904,CW985828
BR98784,BR98784
EF174496,EF174496
CW997238,CW266772
CA99654,BL440276
CN11102,EH1301318
EH296535,EH296535
BE177889,BL324622
CW894539,CW61943
CW605053,CW208884
DR103974,DR62614
EN56942,CK15261
EF139522,EF139522
BG58350,BL509299
CW456949,CW456949
AM102535,AM102535
CW384482,CW231806
BM39729,BM39729
EH131860,EH401455
EF212427,EF212427
CW925916,CW925916
EH1204622,EH1204622
BR192583,AL325889
DR6413,DH2059
DB151855,DB151855
BL161464,BL121061
AD13748,AD13748
CG87453,CG87453
CW69040,CW343529
AG51189,AL311555
CW920021,CW750432
CA66987,CW644799
CW207233,CW530024
EF176595,EF176595
BE84736,BE84736
BY354923,BY354923
CW1254110,CW783479
EH231027,EH231027
EL3166,EL3166
EH1085639,EH1085639
CW251386,CW216625
EN71537,EN71537
DP45568,DP45568
BN411535,BN411535
AY36665,AY36665
AP18277,AL4385
CA118109,CA118109
DT166496,DT170802
CW544096,CW998496
CW496738,AN98838
BN445780,BN445780
CB77071,CB77071
CW1041136,BL257589
CW469101,CW679551
DH47835,EF23181
EH374556,EH146291
EH440554,EH440554
CW163082,CW163082
CW128931,CW147067
EL83606,EL83606
BB49643,BB49643
CW1046466,CW356785
DE274878,DE274878
CW669075,CW669075
BW17763,EH123852
BY372455,BY372455
CJ43199,CJ58395
BN198697,BN198697
EF27119,EF27119
EH814377,EH814377
AL245732,AL245732
BD51582,BD51582
CW990291,CW990291
DX62652,DX62652
CW1076229,CW398198
DT109229,DT109229
DT93289,DT93289
CW1019962,CW469837
BN85156,ER34149
CW1204883,CW65190
DW30613,DW70559
BY671110,BY671110
BY581858,BY581858
BE376949,BE376949
BY9893,BY188744
AG46137,AG46137
CW924280,CW924280
AA100490,EH423288
EH1104198,EH1104198
CW946990,CZ121627
EH240247,EH674237
CW543117,EN35640
AN12272,AW19337
CB14417,CB14417
BH111789,BH7887
EH616723,BR98430
DB11634,DB11634
AB2784,AB2784
BL352539,BL329992
DD42554,DD42554
CE21114,CE21114
BY400501,BY400501
AW46655,AW46655
EN54612,EN54612
BL449262,BL449262
AW99934,AW163901
DL97036,DL98670
BD120478,BD120478
EG18761,EG53601
EH97087,EH199390
CN74096,CN74096
DT52507,AA102710
BY372804,BY372804
CW861001,CW861001
AK78736,AK78736
CD18968,CD18968
AJ19593,EN59905
BL340524,BL340524
CW214422,CW201071
DD159773,DD159773
CW1086680,CW1081637
EH312108,EH312108
CC77658,CC77658
CW1019452,CW1110498
BH141144,BH141144
BR196901,BR193001
CW470795,CW597388
AL221993,AL221993
CW860037,CW860037
CW848961,CW933820
BF18734,BF18734
EF157889,DW20687
AL97788,AL97788
BN9703,BN9731
BM47474,BM47474
CW698616,CW698616
CM52116,CM25470
CW151286,CW151286
CW741089,CW741089
AW163620,AW163620
AK143132,AK143132
EN16567,EN16567
EF205391,EF205391
BH42977,BH42977
AK133476,AK133476
AN74306,AN74306
EH377836,EH26782
BR180879,BR180879
EH515849,EH515849
DD113075,DD113075
CW1317727,CW1317727
CW743145,CW134791
DB173464,DB335783
EH794455,EH794455
CH49931,CH49931
EH341299,EH341299
CW183533,CW333521
BR24439,BR100598
BN345699,BN345699
AH18733,AH18733
DP23822,DE116694
CW583073,CW583073
BN354440,BN354440
CW755419,CW530024
DL254223,BE203733
DS102387,CA73956
BY87421,AC9864
CW219497,CW741616
CW445713,CW503686
BL423289,BL423289
CW794172,CW794172
BL394330,BL394330
CL52234,CL52234
BN339200,BN311362
CW445713,CW186258
EH294190,EH509927
EJ25249,BN374083
EF85452,EF85452
DE197124,DD22186
EH454309,EH674237
CW416778,CW543532
CJ117846,CJ117846
BH119063,BH131746
AX40335,AX40335
BD18159,BD18159
AL184998,AL184998
BR116598,BR193179
AL209065,AL188352
EH568865,EH568865
EH1250255,EH1250255
AA143858,AA143858
CJ12277,CJ12277
DG45271,DG45271
AM69283,AM69283
EH1162280,EH1106357
EF34675,EF34675
EH1052996,EH149164
AW169857,DE295664
DZ70842,DZ70842
EP101078,EP101078
ER43988,ER43988
BN464648,BN464648
AL182530,AL182530
BY556927,BY556927
AN36504,AN36504
DN134266,DD90591
BP58213,BP58213
BN429301,EF101538
CW188684,CW88280
AL316079,AL316079
DL235277,DL235277
BN166219,BN188151
BY398893,BY398893
BP67712,BP67712
AA22396,AA47141
CW909602,CW912829
AM18151,AM18151
BY134272,BN161763
CZ87541,CZ87541
BE287441,BE361109
EM26221,EM26221
CW43014,CW380328
EH1217861,EH1217861
BE280235,BE280235
BY277318,BY99414
EP87823,EP87823
CW833375,CW301889
CG20806,CG193330
CG25159,BE117571
CG72662,CB82313
AN31932,AN31932
DA111211,DA111211
CW676062,CW676062
CW897339,CW897339
CW470795,CW430951
EH742431,EH742431
CW134940,CW1123825
BL448904,BL448904
CW235090,CW170495
AL241338,AL241338
BY519265,BN543907
BL319619,BL319619
EH791288,EH791288
CW517710,CW611619
BY46586,BY105199
BE303185,CW577267
DL221569,DL221569
CW489163,CW150492
BC56753,BC56753
AP81115,AP81115
BR193001,DD90591
EH897744,EH897744
DL46513,DL46513
BE110724,DE128679
BY335780,BY335780
DR12238,DR12238
CW758653,CW758653
EH616577,EH616577
CW49817,CW227967
BL393201,BL393201
CJ200945,CJ83035
CW210990,CW210990
EM83691,EM83691
CW915211,CW1193318
BH157272,BH157272
EJ15483,CC151524
CW863797,CW863797
CC74408,EG57279
CW1094344,CW1040764
EF114239,EF114239
CW512123,CW617307
EL87397,EL87397
CW417581,CW393936
EH193330,EM40741
EH556422,EH556422
CA66987,AM19267
EH732722,EH732722
DD168017,DD168017
CZ64839,DB25014
BN480693,BN480693
BN78511,BN17841
BH137066,BH137066
DY12360,DY12360
AL65338,AL65338
CC129191,AN98838
BM46188,BM46188
DE122428,BL272582
BN341626,BN341626
BY517173,BY517173
CM8094,CM8094
BR199493,BR199493
DB34986,DB17038
CW459120,CW459120
BD41497,BD41497
CW778355,CW510214
EH833859,EH833859
AN104908,EH410610
EM90139,DB282988
AW136619,AW136619
BE309493,BE309493
EH118361,CW79323
CS32169,CS32169
BR180538,BR180538
CN73488,CN73488
ER37500,CB77071
EH1156253,EH1156253
EL73451,EL73451
BW13322,BW42701
BE72552,DL47653
EB6368,EB6368
BJ13893,BJ13893
CJ127134,CJ127134
CW1278886,CW1278886
AF15023,CY19114
CW676224,CW377484
BB90582,EH936999
CZ85510,CZ85510
CW813828,CW813828
EH641900,EH641900
BH94129,BH94129
DD118348,DD118348
AY3773,AY3773
CW596989,CW611190
EE4975,EE4975
DL195532,DL195532
CM53602,CX17061
ED40583,ED40583
EG31052,EG31052
AT2752,AT2752
DB323211,DB323211
EN35926,CA24128
CW325005,BL182975
DY24376,DY24376
BL159322,CS20962
AA190129,AA190129
CW731374,CW745839
EF31364,EF157946
DE256749,CL57158
BY30405,BN216283
ED54635,ED54635
DB22779,DB226579
CW97146,CW97146
CW97826,CW1074242
CW340876,CW494254
DP49854,DP49854
CW1141841,CW1141841
DB322665,DB322665
AX24273,AX24273
AP2775,AP2775
BR146881,BN378471
EH1156851,EH1156851
EH629929,EH629929
CW917983,CW917983
BM67387,BM67387
CW968576,CW968576
DE170138,DE170138
CJ52649,CJ52649
CW1193199,CW373221
CW1293976,CW1110498
BE80208,BE80208
CW862385,CW734695
CW239949,CW239949
CW376273,CW1071747
BL498643,BL498643
CW234840,DE57573
DL33829,BK57184
CW1295568,CW1295568
DK27873,EA37911
BL440309,BL440309
CW396483,CW566541
DB167301,DB167301
EL93761,EL93761
CW97441,CW97441
EH757369,EH757369
CW181024,CW181024
CW61943,CW61943
CW1106317,CW1106317
DB185226,DB317215
CW1175994,CW1175994
DP23822,CT23876
DD156152,DD156152
CW67376,CW844780
EG31246,EG31246
EH192053,EH626574
BY341421,BY338296
AA166090,AA166090
BN456800,BN456800
BR83143,DA41470
CW887565,CW807933
BR154117,BR154117
BY390903,BY390903
EB50295,BY743239
AS59443,AS59443
CW563288,CW563288
AN205791,AN205791
DA107102,DA107102
CW911571,CW911571
EH1148678,EH322174
BH11985,BH12066
EG18761,EG18761
CS5027,CS5027
AW202949,AW202949
DF19269,DF19269
EH1076372,EH1076372
AL230702,AL230702
BY610888,BY610888
EB19736,DP32197
CW782819,CW253328
DB166463,DB166463
DB144109,DB144109
EH790488,EH808583
EL81050,EL81050
DX57426,DX57426
DR106049,DR106049
AP61290,AP61290
BE388979,BE388979
DT148835,DT137339
ED29286,ED29286
CW806863,CW730061
EH429178,EH545946
EF163917,AL311555
EP55402,EP28296
CG97595,CG63733
DX64582,DX64582
BL390110,BL390110
EH959190,EH959190
BN181015,BN8167
CW1310331,CW1310331
CC12673,CC80097
CW139744,CW165994
ED20558,ED45438
CW1233693,CW714074
BY228778,BY104464
DT155200,DT155200
CW921186,CW921186
BR153993,BR153993
AE32352,AE32352
EH664004,CW324123
AL26720,BG11024
CW280541,AP35574
CW709803,CW1081637
DD209113,DD209113
EH448748,EH448748
EL13166,EL13166
ED21483,ED21483
CG139441,CG139441
EP69767,EP69767
DL116552,DL116552
BL357642,BL357642
CJ140887,CJ140887
DR12665,DR12665
EH247270,BL188884
DH47835,CL64780
EH258197,EH258197
BR119537,BR141123
CB79350,BB20165
CW114592,CW273005
DX41657,DX41657
BK51451,BK51451
DW55215,DW55215
BZ28428,BZ28428
DL254223,DE253483
CW643614,CW223164
CW142326,CW316469
BY446083,BY114176
BN135163,CL33042
DE198220,DE199936
DL109942,DL109942
AL193127,AL193127
CJ127550,CJ127550
DR26598,DR57971
CW1058269,CW1095419
DE261703,EH943679
CW110665,CW110665
DB105286,DB105286
DT34663,DT34663
DL237231,DL237231
DE274205,BK39505
DE95870,DE120695
CW614481,CW614481
BL262611,BL484612
CW447082,CW447082
CP42029,CP42029
EH741530,DE89444
EH953261,EH953261
DB157694,DB139663
EH783584,EH783584
AD30827,AD30827
BL325328,BL325328
CX19216,CX19216
CW847569,CW847569
BY486943,BY486943
AL341191,BH134730
CW70628,CW649843
CW475722,CW599753
CW900746,CW989524
ER30410,AJ25110
BH132066,BH132066
BN9703,BN22785
CJ142240,CJ142240
CW662552,CW344867
CW229412,CW229412
BN279092,BN218071
CW1146993,CW1146993
EH1122660,EH1122660
AN89718,AN89718
CE17971,CE17971
BN353954,BN90863
CW1255402,CW1255402
AP16925,AP16925
AD26990,AD26990
EH155773,EH401455
CZ73644,CZ73644
BE444695,BE444695
DR8898,AL9326
CE35351,CE35351
BY449496,BZ30498
CW765780,CW985828
EF176854,EF176854
AM113293,AM85257
AM90512,AM90512
CW690925,CW690925
BB95704,BB95704
EL73289,EL73289
EH839097,EH839097
CW1141642,CW1141642
CW707895,CW821279
BY417827,BY417827
EL19840,AW41756
CW537329,CW537329
BM15957,BM15957
CW1204094,CW219887
EH323792,CJ52662
BY610340,BY699158
AN92250,AN92250
BE221968,BE221968
DB135988,DB188200
DT170839,DT170839
EH272217,EH272217
CW447555,CW471414
AA100490,DL76801
BY389180,BY389180
CS32613,CS32613
CW122110,CW323938
CA7407,CA7407
CJ110394,CJ110394
BR130951,BR130951
BN480917,AK114637
AL85094,AL85094
DX28506,DX28506
BE348918,BE298891
AL303521,AL303521
BN239255,BN123109
DN159650,DN159650
EH872139,EH872139
BY589510,AX33562
EH921178,EH921178
DN137363,DN137363
CW185462,CW362698
DA97499,DA58962
DP11302,DP26427
EH584881,EH584881
CW973090,CW551778
BL96442,EL58048
EH118361,BL8174
BH22540,BH25466
DL173280,DL173280
DD136187,EH1013687
EH592895,EH592895
BZ53623,BZ53623
BY231454,BY467760
DP42623,DP42623
ER25553,AL49721
BH100978,DZ5783
CW239132,CW208884
AK97282,CZ39741
CW1026494,EH611657
BE308776,BE308776
CW544610,DL79380
BY11654,BY101788
DR113248,DR113248
CA110961,BR123490
AN18924,AN18924
BN375226,BH143694
DB67684,DB43785
BN280979,BN187517
EF24027,EF24027
CW83523,CW83523
DL195029,CM65248
BL380304,BL380304
BN367562,BN367562
EH482716,EL29551
EF145268,DZ54124
AN83162,AN76170
CW476397,CW476397
CW59885,CW677446
CW1140326,CW1082771
ER32830,ER32830
AP37605,CG128534
BE10393,BE10393
EM130890,EM130890
BE350771,BE231834
DZ66646,BB80368
DL243751,EH50129
DJ15874,DJ15874
CJ24663,CJ24663
CW794474,CW1043592
EH619838,EH611657
AL67383,AL67383
BR151422,BR151422
CT10420,CT10420
BE290060,BE290060
BR157116,BR157116
DL147940,DL147940
DT106904,EF126293
BY597494,BY597494
EH1254241,EH114653
EH242416,EH103322
BN25137,BN28904
BE405326,BE405326
DL114640,DL47653
CW267326,CW425068
AX36048,AX36048
EP103820,EP103820
BL408291,BL408291
BE359046,BE298891
EH473481,EH473481
EH85789,EH591821
DB135911,DB135911
CW438446,CW897541
EM126110,EM126110
BY273539,BY5046
BL508422,BL508422
DC21791,DC21791
EH964480,DA41470
CL15194,CL15194
CW596989,EF75759
CW1067856,CW1067856
BB42951,CL25919
DR104158,DR150345
CT44359,CT49809
BY569278,BY569278
DK8732,DK8732
DD7265,DD7265
CW517485,CW517485
BN9703,BN10006
CW1032843,CW419610
DK21921,DK21921
DT137269,CS30949
ED43675,ED43675
BY514246,BY514246
CW352726,CW673453
CW778355,CW778355
AZ9598,AZ9598
BK37156,BK37156
AL46656,AL46656
CC131667,CC131667
CW1263528,CW1263528
BE364085,BE368961
EM57140,EM57140
EH867623,EH867623
CW272892,CW280088
BL386524,BL386524
BY598910,BY442913
AS62439,AS62439
EH334359,EH334359
CZ44781,CZ44781
AL128876,AL128876
DK32746,DK34564
EL79308,EL79308
BL502388,BL502388
DW60291,DW60291
AP61937,AP61937
BN479548,BN479548
DH18697,DH18697
EH112975,EH100173
BN50818,BN72932
BL240608,BL240608
EG43188,EG43188
BN14309,BN14337
BN408209,BN408209
BE182028,BE182028
CW41008,CW88280
BH115153,BH77549
BD92590,BD92590
DZ48967,DZ48967
DD90941,DD26125
DB177831,DB177831
CC100737,CC100737
AP43721,AP43721
BE400112,BE400112
EH54982,EH245496
DG27356,DG27356
BR37177,BR37177
BH141265,BH141265
DR143749,DR143749
DD164420,DD90591
DK46945,DK46945
CB49985,CB49985
AP9064,AP9064
AN94015,AN94015
CW368461,CW1072367
EJ28957,EJ28957
DS45752,DS45752
CW654240,CW530024
DR28132,DR5458
CD22419,CT16150
EH1022956,EH1022956
AW202492,AW202492
CW442428,CW442428
BD110424,BD110424
EH633010,EH633010
EH664004,CW231025
EH973722,EH973722
DB6674,DB12569
CW392851,CW124933
BA14317,EH626574
BL376278,BL376278
EH1102799,EH1102799
EH137341,EH180326
CW586483,CW586483
BL252350,BL252350
AL274169,AL274169
DN126118,DN126118
AW31245,AW100197
BH148819,BH148819
AK143120,AK143120
DZ16805,DZ16805
EP58530,EP58530
BL261971,BL337576
EA4464,EA4464
AX2890,AX2890
BN393190,BN225252
EF9973,BK14922
CW322572,CW381497
BE308604,BE458473
EH986928,EH986928
BH79569,BH62636
DS102387,AL211408
CW682212,CW531154
DS96722,DS96722
CW168583,CW168583
CW710240,CW710240
DZ11922,DZ11922
CS22237,CS22237
BD134158,BD92079
DT147460,DT147460
CT28669,BL55001
CA66987,CG128534
CW590980,CW990081
CW428417,CW428417
BC36751,BC36751
BY471085,BY471085
EL23068,AW148887
BN120375,BN317195
AL229910,AL211408
DT114423,DT114423
CW96802,CW469837
DD158135,DD158135
DE295077,DE295664
AP53646,CC13514
CW1294808,CW833926
CM51394,CM51394
BN407454,BN407454
DT128908,DT128908
DG28127,DG28127
CL23582,CL23582
CW301239,CW352247
EB66074,EB66074
CW431406,CW1031939
AP65687,AM17644
DB92063,DB71773
CW1268371,CW1023001
EH1317607,EH1317607
CW788890,CW788890
EH892893,EH892893
DA34459,BN222751
DL194103,DL194103
EH716912,EH1134056
DB135988,DB138830
CW971025,CW1067367
CW438446,CW838567
AL298037,AL298037
CW616110,CW347111
CJ140093,CS30949
BE158536,BE158536
DS84883,DS84883
BN459001,BN459001
EH661098,EF157946
DX13014,BR157341
CW933116,CW933116
BN219762,BN219762
BD82887,BD82887
EB62120,CW886013
DL100682,DL100682
DB107949,DB107949
CW543117,EH392472
DB268170,DB268170
DN113587,DN113587
EK12196,EK12196
CW543117,DL168310
BN521325,BN521325
CW102971,CW511529
EH604971,CX17061
DT53056,DT53056
EH1097765,EH1097765
CZ41419,BD53250
EL54740,EL54740
BY370351,BY370351
CW1066836,CW17814
CW142169,CW142169
DT51754,BR88966
EH975231,EH975231
EH671841,EH392472
CW41488,CW170495
AW188134,AW17291
EF117979,EF117979
CW242938,CW421399
DS73864,AG35227
CW1123554,AA169583
DN84503,DN27768
BN306089,BN306089
BR17089,AA95622
BH123451,BH123451
EB48098,EB48098
AN167285,AN167285
EB67426,EB67426
CW893637,CW893637
BL433775,BL433775
CM17888,CM13481
BN499427,BN499427
CW207370,CW207370
DT141340,DT141340
BT12353,BT12353
BL409041,BL409041
EH323763,DE11851
DD136187,EF88924
BZ54246,BZ54246
CW221554,CW359465
DN86526,EB69887
EM89495,EM89495
DZ54294,DZ54294
CA66987,CW324123
AL38033,AL38033
CW239132,CW617307
BN107087,BN107087
